STATE,COUNTY,FOOD_INSEC,FOOD_INSEC_CHILDREN
VA,Alexandria,10,11
VA,Bristol,15,22
VA,Buena Vista,16,25
NV,Carson City,14,24
VA,Charlottesville,17,16
VA,Chesapeake,12,14
VA,Colonial Heights,11,16
VA,Covington,15,23
VA,Danville,22,21
VA,Emporia,26,26
VA,Falls Church,5,9
VA,Fredericksburg,16,16
VA,Galax,13,24
VA,Hampton,18,17
VA,Hampton,11,14
VA,Harrisonburg,16,17
VA,Harrisonburg,11,14
VA,Hopewell,19,20
VA,Hopewell,11,14
VA,Lexington,16,17
VA,Lynchburg,19,20
VA,Lynchburg,11,14
VA,Manassas,5,11
VA,Manassas Park,4,10
VA,Martinsville,22,20
VA,Newport News,17,17
VA,Norfolk,19,19
VA,Norton,17,26
VA,Petersburg,28,24
VA,Poquoson,6,12
VA,Portsmouth,20,19
VA,Radford,21,17
VA,Salem,11,16
VA,Staunton,14,20
VA,Suffolk,14,14
VA,Virginia Beach,11,13
VA,Waynesboro,13,19
VA,Winchester,12,16
