STATE,COUNTY,FOOD_INSEC,FOOD_INSEC_CHILDREN
AK,Aleutians East,14,20
AK,Aleutians West,14,16
AK,Anchorage,12,16
AK,Bethel,22,30
AK,Bristol Bay,14,19
AK,Denali,14,17
AK,Dillingham,18,25
AK,Fairbanks North Star,13,17
AK,Haines,14,19
AK,Hoonah-Angoon,19,30
AK,Juneau,11,16
AK,Kenai Peninsula,13,19
AK,Ketchikan Gateway,15,19
AK,Kodiak Island,12,17
AK,Wade Hampton,27,38
AK,Lake and Peninsula,19,26
AK,Matanuska-Susitna,13,19
AK,Nome,22,29
AK,North Slope,14,18
AK,Northwest Arctic,22,30
AK,Petersburg,14,18
AK,Prince of Wales-Hyder,17,25
AK,Sitka,12,16
AK,Skagway,15,19
AK,Southeast Fairbanks,16,23
AK,Valdez-Cordova,14,19
AK,Wrangell,15,22
AK,Yakutat,14,19
AK,Yukon-Koyukuk,22,32
AL,Autauga,14,21
AL,Baldwin,13,22
AL,Barbour,23,30
AL,Bibb,16,25
AL,Blount,11,24
AL,Bullock,24,26
AL,Butler,22,27
AL,Calhoun,17,26
AL,Chambers,20,26
AL,Cherokee,14,26
AL,Chilton,14,25
AL,Choctaw,21,26
AL,Clarke,25,27
AL,Clay,15,24
AL,Cleburne,14,25
AL,Coffee,15,24
AL,Colbert,17,26
AL,Conecuh,24,29
AL,Coosa,18,24
AL,Covington,16,27
AL,Crenshaw,17,22
AL,Cullman,13,24
AL,Dale,17,24
AL,Dallas,30,32
AL,DeKalb,12,23
AL,Elmore,14,21
AL,Escambia,20,26
AL,Etowah,16,26
AL,Fayette,16,26
AL,Franklin,14,28
AL,Geneva,16,29
AL,Greene,32,35
AL,Hale,24,26
AL,Henry,16,22
AL,Houston,18,25
AL,Jackson,14,26
AL,Jefferson,19,22
AL,Lamar,17,29
AL,Lauderdale,16,25
AL,Lawrence,15,25
AL,Lee,18,22
AL,Limestone,13,21
AL,Lowndes,28,28
AL,Macon,27,26
AL,Madison,15,21
AL,Marengo,23,26
AL,Marion,15,26
AL,Marshall,12,26
AL,Mobile,19,24
AL,Monroe,25,29
AL,Montgomery,23,24
AL,Morgan,14,23
AL,Perry,29,31
AL,Pickens,21,26
AL,Pike,22,25
AL,Randolph,17,24
AL,Russell,20,24
AL,Shelby,10,17
AL,St. Clair,13,23
AL,Sumter,30,30
AL,Talladega,19,27
AL,Tallapoosa,18,27
AL,Tuscaloosa,18,22
AL,Walker,16,28
AL,Washington,17,25
AL,Wilcox,32,33
AL,Winston,15,30
AR,Arkansas,20,25
AR,Ashley,21,27
AR,Baxter,16,27
AR,Benton,12,21
AR,Boone,16,26
AR,Bradley,21,29
AR,Calhoun,18,23
AR,Carroll,14,24
AR,Chicot,28,30
AR,Clark,21,26
AR,Clay,18,29
AR,Cleburne,16,26
AR,Cleveland,18,27
AR,Columbia,24,27
AR,Conway,19,28
AR,Craighead,19,25
AR,Crawford,15,26
AR,Crittenden,26,26
AR,Cross,21,25
AR,Dallas,22,23
AR,Desha,28,31
AR,Drew,24,29
AR,Faulkner,17,22
AR,Franklin,17,27
AR,Fulton,17,29
AR,Garland,18,27
AR,Grant,15,22
AR,Greene,17,25
AR,Hempstead,21,27
AR,Hot Spring,18,26
