Fips,State,County,Food_Insec,Food_Insec_Children
01001,AL,Autauga,14,21
01003,AL,Baldwin,13,22
01005,AL,Barbour,23,30
01007,AL,Bibb,16,25
01009,AL,Blount,11,24
01011,AL,Bullock,24,26
01013,AL,Butler,22,27
01015,AL,Calhoun,17,26
01017,AL,Chambers,20,26
01019,AL,Cherokee,14,26
01021,AL,Chilton,14,25
01023,AL,Choctaw,21,26
01025,AL,Clarke,25,27
01027,AL,Clay,15,24
01029,AL,Cleburne,14,25
01031,AL,Coffee,15,24
01033,AL,Colbert,17,26
01035,AL,Conecuh,24,29
01037,AL,Coosa,18,24
01039,AL,Covington,16,27
01041,AL,Crenshaw,17,22
01043,AL,Cullman,13,24
01045,AL,Dale,17,24
01047,AL,Dallas,30,32
01049,AL,DeKalb,12,23
01051,AL,Elmore,14,21
01053,AL,Escambia,20,26
01055,AL,Etowah,16,26
01057,AL,Fayette,16,26
01059,AL,Franklin,14,28
01061,AL,Geneva,16,29
01063,AL,Greene,32,35
01065,AL,Hale,24,26
01067,AL,Henry,16,22
01069,AL,Houston,18,25
01071,AL,Jackson,14,26
01073,AL,Jefferson,19,22
01075,AL,Lamar,17,29
01077,AL,Lauderdale,16,25
01079,AL,Lawrence,15,25
01081,AL,Lee,18,22
01083,AL,Limestone,13,21
01085,AL,Lowndes,28,28
01087,AL,Macon,27,26
01089,AL,Madison,15,21
01091,AL,Marengo,23,26
01093,AL,Marion,15,26
01095,AL,Marshall,12,26
01097,AL,Mobile,19,24
01099,AL,Monroe,25,29
01101,AL,Montgomery,23,24
01103,AL,Morgan,14,23
01105,AL,Perry,29,31
01107,AL,Pickens,21,26
01109,AL,Pike,22,25
01111,AL,Randolph,17,24
01113,AL,Russell,20,24
01115,AL,St. Clair,13,23
01117,AL,Shelby,10,17
01119,AL,Sumter,30,30
01121,AL,Talladega,19,27
01123,AL,Tallapoosa,18,27
01125,AL,Tuscaloosa,18,22
01127,AL,Walker,16,28
01129,AL,Washington,17,25
01131,AL,Wilcox,32,33
01133,AL,Winston,15,30
02013,AK,Aleutians East,14,20
02016,AK,Aleutians West,14,16
02020,AK,Anchorage,12,16
02050,AK,Bethel,22,30
02060,AK,Bristol Bay,14,19
02068,AK,Denali,14,17
02070,AK,Dillingham,18,25
02090,AK,Fairbanks North Star,13,17
02100,AK,Haines,14,19
02105,AK,Hoonah-Angoon,19,30
02110,AK,Juneau,11,16
02122,AK,Kenai Peninsula,13,19
02130,AK,Ketchikan Gateway,15,19
02150,AK,Kodiak Island,12,17
02164,AK,Lake and Peninsula,19,26
02170,AK,Matanuska-Susitna,13,19
02180,AK,Nome,22,29
02185,AK,North Slope,14,18
02188,AK,Northwest Arctic,22,30
