,FIPS,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10,FIPS ,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016",FOODINSEC_10_12,FOODINSEC_13_15,CH_FOODINSEC_12_15,VLFOODSEC_10_12,VLFOODSEC_13_15,CH_VLFOODSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_POP_10_15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,PCH_LACCESS_LOWI_10_15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,LACCESS_CHILD10,LACCESS_CHILD15,LACCESS_CHILD_10_15,PCT_LACCESS_CHILD10,PCT_LACCESS_CHILD15,LACCESS_SENIORS10,LACCESS_SENIORS15,PCH_LACCESS_SENIORS_10_15,PCT_LACCESS_SENIORS10,PCT_LACCESS_SENIORS15,LACCESS_WHITE15,PCT_LACCESS_WHITE15,LACCESS_BLACK15,PCT_LACCESS_BLACK15,LACCESS_HISP15,PCT_LACCESS_HISP15,LACCESS_NHASIAN15,PCT_LACCESS_NHASIAN15,LACCESS_NHNA15,PCT_LACCESS_NHNA15,LACCESS_NHPI15,PCT_LACCESS_NHPI15,LACCESS_MULTIR15,PCT_LACCESS_MULTIR15,MILK_PRICE10,SODA_PRICE10,FFR09,FFR14,FSR09,FSR14,REDEMP_SNAPS12,REDEMP_SNAPS16,PCT_SNAP16,SNAP_OAPP09,SNAP_OAPP16,SNAP_CAP09,SNAP_CAP16,SNAP_BBCE09,SNAP_BBCE16,PCT_NSLP15,PCT_SBP15,PCT_SFSP15,REDEMP_WICS08,REDEMP_WICS12,PCT_WIC15,PCT_CACFP15,FDPIR12,DIRSALES07,DIRSALES12,FMRKT09,FMRKT16,FMRKT_SNAP16,FMRKT_WIC16,FMRKT_WICCASH16,FMRKT_SFMNP16,FMRKT_CREDIT16,FMRKT_FRVEG16,FMRKT_ANMLPROD16,FMRKT_BAKED16,FMRKT_OTHERFOOD16,FRESHVEG_ACRES07,FRESHVEG_ACRES12,ORCHARD_ACRES07,ORCHARD_ACRES12,BERRY_ACRES07,BERRY_ACRES12,SLHOUSE07,SLHOUSE12,GHVEG_SQFT07,GHVEG_SQFT12,FOODHUB16,FARM_TO_SCHOOL09,FARM_TO_SCHOOL13,Food_Insec,Food_Insec_Children
760,18129,96.66538016209958,0.8876881512929371,0.9571593979158626,0.2701659590891548,0.16209957545349285,0.015438054805094558,14.399845619451948,23.689695098417598,58298.0,9.7,0,12.9,0,1,0.0,18129,25910,25696,25627,25504,25538,25490,25476,13.0,11.1,-1.9,4.5,4.3,-0.2,6.2,7.8,5972.42236099762,5706.22162973052,-4.457165203276646,23.05064593206337,22.02324056244894,1553.34286472129,1502.4046971817,-3.279261050246603,5.995148069167464,5.798551513630644,182.102782915858,213.247607218368,17.102882121741487,1.7904117875907777,2.096623805116193,185.492413547736,1.8237382120512828,1307.18942040884,1291.31270127387,-1.2145691272504617,5.045115478227865,4.983839063195176,1052.38076098588,925.319333634448,-12.073712487141984,4.061677965981783,3.5712826462155465,5604.35512074893,21.63008537533358,16.5580252209911,0.06390592520644964,41.8503675979377,0.1615220671475789,8.79596533285803,0.03394814871809352,14.006763790705,0.054059296760729444,1.00000001088483,0.0038595137432837897,61.5057681913349,0.23738235504181743,0.795895,0.9343761,9,10,23,16,136681.13714285716,92287.17731707318,10.905551335109188,0.5,0.5,0,0,0,0,11.605721975986755,4.109673355811761,0.9678413458052353,33911.88,31816.02,2.3337155270345393,1.2338662896091654,0,85.0,79.0,1.0,2,1.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,43.0,44.0,54.0,51.0,5.0,3.0,0.0,0.0,0.0,-1.0,0,0.0,0.0,11,17
1902,37027,88.60157294439293,4.847703814329933,4.571896566259982,0.5070517530019631,0.1914993556468222,0.019270375411000976,15.435570704211782,22.62582952944152,39636.0,16.2,0,23.9,0,1,0.0,37027,83029,82311,81979,81912,81494,81282,81449,16.6,14.2,-2.4,6.7,5.6,-1.1,10.0,10.2,29329.6329132887,29875.2641730048,1.8603412505339818,35.32456480662022,35.981722257289384,13048.2618704501,14220.7163473932,8.985522275563094,15.71530654403895,17.127408914226592,1380.95595122228,1143.19812637579,-17.216901425136058,4.136084674800167,3.4239790534796635,2149.44694476621,6.437782870391189,6815.19104490777,6914.85304920168,1.4623508517545614,8.208205620816548,8.328238385626323,4273.86135748688,4367.49557580543,2.190857645733496,5.147432050833901,5.260204959478532,26481.4871917972,31.89426247672163,1856.9214787626,2.2364733752816486,1594.76060530228,1.9207272221781306,128.934010970035,0.15528792466491828,109.586746783334,0.13198610941157185,9.8769549959834,0.01189578941813511,1288.45783693293,1.5518166386839898,1.062503,0.9009972,59,52,38,41,285023.36685082875,216451.82445859868,15.440570947180527,0.0,1.0,1,1,0,1,9.000933630873137,4.539693021927546,0.6285397242721703,101781.8,129676.8,2.477991202056956,1.2387354644649968,0,121.0,90.0,2.0,3,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,74.0,116.0,25.0,29.0,2.0,24.0,0.0,0.0,-1.0,0.0,0,0.0,1.0,15,25
2131,40003,87.25629209500177,3.970223325062035,3.970223325062035,0.19496632399858208,2.6763559021623538,0.0,20.241049273307336,18.04324707550514,52551.0,14.6,0,16.3,0,0,1.0,40003,5642,5646,5653,5824,5777,5840,5827,15.3,15.5,0.2,6.6,6.4,-0.2,10.5,11.4,3429.26796401639,3316.19527714096,-3.297283503707253,60.781069904579766,58.77694571323928,1045.57381249859,1189.00284594332,13.717733911294113,18.531971153821164,21.074137645220134,39.0534613726258,40.1487137599099,2.804495040359761,1.931427367587824,1.9855941523199754,98.4222296886108,4.867568233858101,513.430170755455,483.979364819341,-5.736087907101458,9.100144820195942,8.578152513635963,659.143261615966,640.097523188649,-2.8894687295481387,11.682794427790961,11.345223736062549,2847.98379468665,50.478266477962606,212.999999997439,3.775257001018061,151.211450904972,2.6801037026758596,9.00000002712477,0.15951790193415047,113.211450672332,2.0065836701937614,0.0,0.0,132.999999503969,2.357320090463825,1.053402,0.9502338,1,2,4,6,78973.834,58704.59624999998,15.512974055965998,0.0,1.0,0,0,1,1,11.260983123933551,5.769928592210646,0.42934157058275196,-1.0,-1.0,2.8862800044383787,1.3629223554701742,0,115.0,13.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,202.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13,22
283,8079,95.2247191011236,0.2808988764044944,2.9494382022471908,0.1404494382022472,0.5617977528089888,0.0,23.03370786516854,14.185393258426968,50481.0,9.4,0,19.0,0,0,0.0,8079,712,711,710,722,693,724,732,14.1,12.1,-2.0,5.8,5.1,-0.7,8.0,8.8,681.734060586972,91.112206655213,-86.63522744092242,95.74916581277697,12.796658238091712,160.408015636479,28.2137233656846,-82.41127586190997,22.52921567928076,3.962601596304017,0.0,3.10821276189263,-1.0,0.0,0.8755528906739801,0.0,0.0,96.9620090366797,13.9739166659132,-85.58825584912643,13.618259696162879,1.9626287452125282,152.999998879761,24.7713577785289,-83.8095699608494,21.488763887606883,3.4791232835012496,88.784210155093,12.469692437513062,0.0,0.0,2.84507654303827,0.3995894021121165,0.0,0.0,0.0,0.0,0.0,0.0,2.3279968413853,0.3269658485091713,0.9400685,1.079599,0,1,6,5,-1.0,-1.0,8.54951994794736,0.0,1.0,0,0,0,1,6.931619261463329,3.3906561901295573,0.3698291272142557,-1.0,-1.0,1.6668609277543014,0.7939001651952305,0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,10,17
1377,27129,91.23331214240305,0.25429116338207247,6.649713922441196,0.34329307056579783,0.4831532104259377,0.02542911633820725,19.357914812460265,23.242212333121422,56835.0,9.5,0,15.2,0,0,1.0,27129,15730,15457,15348,15121,14983,14861,14660,10.6,9.9,-0.7,4.8,3.8,-1.0,5.7,7.1,8064.43126298547,5201.29422684241,-35.503272862953516,51.267840196983286,33.06607900090534,2493.60828048683,1554.97025185203,-37.64175937254863,15.852563766604133,9.885379859199174,224.039633923317,199.516024954014,-10.946102946096053,3.413157128630667,3.039549435618739,147.011794324226,2.2396677989674894,1877.87725467701,1237.68672447774,-34.09118080560495,11.938189794513733,7.868319926749777,1700.68492257116,1080.01386778017,-36.495358226180784,10.811728687674254,6.86594957266478,5025.65905047674,31.9495171676843,3.99999997764826,0.025429116196110997,459.672130448482,2.9222640206515065,18.9999999674037,0.12078830239926064,11.8791178442066,0.07551886741390083,1.0,0.006357279084551812,139.756059380605,0.8884682732397012,0.873642,0.9790413,6,6,15,12,55468.82642201835,38636.471794871795,8.67772038597437,0.0,0.0,0,0,1,1,11.180059977113062,3.9130489395026293,0.9618379792749701,37887.03,34123.54,2.175074331544373,1.7046388129978285,0,174.0,127.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1439.0,481.0,15.0,32.0,0.0,-1.0,3.0,2.0,0.0,0.0,0,0.0,1.0,9,16
2641,48241,75.43825259031084,16.608793055166622,5.6482777933352,0.5600672080649678,0.47045645477457293,0.033604032483898066,16.611593391206945,24.90898907868944,46541.0,15.7,0,24.8,0,0,0.0,48241,35710,36242,35859,35673,35560,35460,35648,18.4,15.4,-3.0,6.2,6.0,-0.2,12.6,12.8,7186.06793195505,6386.26740534678,-11.129877064642155,20.12340501807631,17.883694778344385,3111.52253558583,2709.63551208202,-12.916089114172008,8.713308696683926,7.587889980627331,601.361676264161,750.56410607815,24.810764586941946,4.367187191460864,5.450719724605301,493.34826191171,3.582776048741539,1690.54033355131,1520.17834887382,-10.077368832698088,4.734081023666508,4.257010218072865,1371.43547635822,1200.79618899239,-12.442385391615682,3.840480191425987,3.362632845120106,4474.83990795858,12.531055468940297,1496.74762142825,4.1913963075560075,443.642880031381,1.242349145985385,46.3921818776598,0.1299136989013156,21.6096588383698,0.060514306464211146,0.0,0.0,346.678017750492,0.970814947495077,1.095938,0.9748207,19,23,17,16,411125.6344954128,264284.7550769231,13.514336567920662,1.0,1.0,1,1,1,1,12.302087652335638,6.926455590449695,0.5084728979609608,226471.7,203657.0,3.226930314170308,1.7289336306951872,0,175.0,108.0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,154.0,82.0,422.0,395.0,73.0,100.0,0.0,0.0,-1.0,1440.0,0,0.0,0.0,23,28
1987,37197,85.98135707962298,3.033380201010259,9.761495599645889,0.18486694787272823,0.17184814872676146,0.013018799145966776,16.25006509399573,23.272405353330207,41208.0,16.3,0,24.9,0,1,0.0,37197,38406,38317,38125,38048,37826,37563,37532,16.6,14.2,-2.4,6.7,5.6,-1.1,10.0,10.2,638.554020600859,729.632559584919,14.263247281468539,1.6626413076104227,1.8997879487187392,161.410397793748,350.971707822056,117.44058165975872,0.4202739097894808,0.9138460340104567,551.873727151068,621.316362245386,12.583065958367143,3.563694479859667,4.012116506815098,33.8650907355623,0.21868197556220004,141.224843183067,169.013585337903,19.67695026491479,0.3677155735642009,0.4400707840907749,164.689513517253,177.08245444455,7.525033417503353,0.4288119395856194,0.4610801813376816,552.741470660781,1.439206037235799,77.9652216187824,0.20300271212514268,128.962125446065,0.3357864017238582,4.37111798301339,0.011381341412834946,0.695537924766541,0.0018110137081876294,3.35364227741957,0.008732079043429595,90.5055756870424,0.2356547822919398,1.062503,0.9009972,19,18,29,26,179081.73310344826,113700.16280087527,15.440570947180527,0.0,1.0,1,1,0,1,9.000933630873137,4.539693021927546,0.6285397242721703,114856.3,73153.11,2.477991202056956,1.2387354644649968,0,-1.0,158.0,1.0,3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,38.0,203.0,239.0,9.0,30.0,1.0,1.0,-1.0,26080.0,0,0.0,1.0,13,25
2094,39105,97.1266302061422,0.8498106857383256,0.4838031131678587,0.2145561632309634,0.2103491796381994,0.004206983592763988,15.671013883045855,22.776609171224234,38479.0,22.8,0,31.3,0,0,0.0,39105,23770,23699,23602,23467,23329,23203,23125,16.1,16.1,0.0,7.1,6.6,-0.5,8.2,8.6,4990.54247514537,3888.99798410945,-22.072640329623347,20.995130311928357,16.36095071144068,2405.18696055248,1733.18616364152,-27.93964909724103,10.118582080574168,7.291485753645436,515.39714716655,444.490937256983,-13.757586804541186,5.392875872831956,4.650946293365941,505.944129163908,5.2939638920572145,1148.93697774858,893.858511637231,-22.201258298013222,4.833559014508119,3.7604480927102695,828.861056503588,653.119050501459,-21.202830634059136,3.4870048653916195,2.7476611295812328,3739.93246397546,15.733834513990155,56.5284619063962,0.23781431176439294,20.2600808420575,0.08523382769060792,11.9018703164861,0.05007097314466176,17.1293381028881,0.07206284435375725,0.0,0.0,63.5058529960716,0.267168081598955,0.795895,0.9343761,14,16,7,5,161804.28134078212,151828.96700636946,13.791816398526205,0.0,1.0,0,0,1,1,8.916841497980398,3.7983394215469457,0.4367273972540223,117660.7,78028.56,2.1027449590013214,0.9947110339475278,0,478.0,350.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,956.0,-1.0,70.0,42.0,10.0,11.0,0.0,0.0,6950.0,15220.0,0,0.0,1.0,17,27
533,13299,64.94547257105089,29.36219431592862,3.3239700374531833,0.7655871337298965,0.2671293236395682,0.01927737387089667,15.231879268561357,23.565212601894693,35270.0,28.4,1,45.6,1,0,0.0,13299,36312,36193,35859,35760,35578,35422,35738,16.9,14.9,-2.0,6.5,5.6,-0.9,9.2,10.5,13610.3234917186,14253.1927852367,4.723394663684988,37.48161349338676,39.252018024996424,5127.91374474256,6336.61952837228,23.571102085501273,14.12181577644459,17.45048338943677,393.873267680544,664.367907020463,68.67555163944438,2.8846731190899666,4.865738296619767,1231.9008354194,9.02227065636004,2884.76015894236,2968.56858888753,2.905213096672028,7.94437144454274,8.17517236419787,2235.60931130974,2538.08506665701,13.52990228735733,6.156668074767955,6.989659249440984,10431.0404309028,28.726152321278914,3254.76204785819,8.963323551052516,566.09683972121,1.5589800609198337,89.0917146928569,0.24535061327620866,35.1836342019524,0.0968925815211291,4.2136497687934,0.011604014564863955,438.901296096656,1.20869491103948,1.114266,0.9753885,28,29,30,20,348120.4668208092,302990.33881019824,16.41494762894565,1.0,0.0,0,0,1,1,12.101522114840536,6.1374335125493635,0.991095325829233,175674.7,180348.4,2.58739636862375,1.3873636055707077,0,53.0,54.0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1267.0,1003.0,457.0,829.0,1.0,0.0,0.0,0.0,0,0.0,1.0,20,30
2313,44007,66.11581589584262,7.188506814624035,18.80089425484348,3.6097321224829138,0.3713295897183033,0.03271274855704864,13.466322624296476,21.961424488603996,50364.0,17.2,0,25.7,0,1,0.0,44007,626667,628087,629364,629731,631464,632488,633673,15.4,11.8,-3.6,5.5,5.0,-0.5,7.3,9.8,124417.660306452,96381.11781311,-22.534214535368573,19.853871403225636,15.379957427646582,28917.609728043,20060.2022834266,-30.629804910973967,4.614509736118704,3.201094406347645,4647.29709873982,2903.4997040672,-37.52283010151159,1.9226190539928183,1.2011979728638036,3825.95870269161,1.5828256608726776,25357.4275482742,19211.148137656,-24.238576247204975,4.046395860684255,3.0656071147285564,19232.7025757516,15462.1106692278,-19.605106935297396,3.069046650892994,2.467356773091259,87538.3694705045,13.968881315037255,2745.70761505464,0.43814459913393233,4411.38542272671,0.7039441079116516,2116.62611476225,0.33775930673902566,208.277114786404,0.03323569212778142,28.6950763365185,0.00457899910742364,3743.44244753684,0.5973575196295385,1.084805,0.9302243,460,470,528,585,321351.98312805995,294711.9092876273,16.093413073892542,1.0,1.0,0,0,1,1,7.218995510736555,3.065350885829567,1.0134450694784995,95308.58,68488.27,1.9623329117351354,0.9365491556360043,0,3270.0,2442.0,20.0,24,14.0,13.0,13.0,16.0,17.0,13.0,10.0,9.0,8.0,-1.0,-1.0,368.0,219.0,59.0,-1.0,1.0,1.0,15672.0,24038.0,1,0.0,1.0,14,20
